MaritalStatus,Education,AcceptedSummary,Age,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,MntRegularProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Z_CostContact,Z_Revenue,Customer_Days
Single,Graduation,1,63,58138,0,0,58,635,88,546,172,88,88,1529,1441,3,8,10,4,7,0,3,11,2822
Single,Graduation,0,66,46344,1,1,38,11,1,6,2,1,6,21,15,2,1,1,2,5,0,3,11,2272
Together,Graduation,0,55,71613,0,0,26,426,49,127,111,21,42,734,692,1,8,2,10,4,0,3,11,2471
Together,Graduation,0,36,26646,1,0,26,11,4,20,10,3,5,48,43,2,2,0,4,6,0,3,11,2298
Married,PhD,0,39,58293,1,0,94,173,43,118,46,27,15,407,392,5,5,3,6,5,0,3,11,2320
Together,Master,0,53,62513,0,1,16,520,42,98,0,42,14,702,688,2,6,4,10,6,0,3,11,2452
Divorced,Graduation,0,49,55635,0,1,34,235,65,164,50,49,27,563,536,4,7,3,7,6,0,3,11,2752
Married,PhD,0,35,33454,1,0,32,76,10,56,3,1,23,146,123,2,4,0,4,8,0,3,11,2576
Together,PhD,1,46,30351,1,0,19,14,0,24,3,3,2,44,42,1,3,0,2,9,0,3,11,2547
Together,PhD,1,70,5648,1,1,68,28,0,6,1,1,13,36,23,1,1,0,0,20,0,3,11,2267
Married,Basic,0,44,7500,0,0,59,6,16,11,11,1,16,45,29,1,2,0,3,8,0,3,11,2752
Divorced,Graduation,0,61,63033,0,0,82,194,61,480,225,112,30,1072,1042,1,3,4,8,2,0,3,11,2385
Divorced,Master,0,68,59354,1,1,53,233,2,53,3,5,14,296,282,3,6,1,5,6,0,3,11,2385
Married,Graduation,0,33,17323,0,0,38,3,14,17,6,1,5,41,36,1,1,0,3,8,0,3,11,2786
Single,PhD,1,74,82800,0,0,23,1006,22,115,59,68,45,1270,1225,1,7,6,12,3,0,3,11,2741
Married,Graduation,0,40,41850,1,1,51,53,5,19,2,13,4,92,88,3,3,0,3,8,0,3,11,2711
Together,Graduation,0,74,37760,0,0,20,84,5,38,150,12,28,289,261,2,4,1,6,7,0,3,11,2826
Married,Master,1,71,76995,0,1,91,1012,80,498,0,16,176,1606,1430,2,11,4,9,5,0,3,11,2617
Single,Post Degree,0,35,33812,1,0,86,4,17,19,30,24,39,94,55,2,2,1,3,6,0,3,11,2762
Married,Graduation,0,38,37040,0,0,41,86,2,73,69,38,48,268,220,1,4,2,5,8,0,3,11,2849
Married,Graduation,0,41,2447,1,0,42,1,1,1725,1,1,1,1729,1728,15,0,28,0,1,0,3,11,2698
Married,PhD,1,71,58607,0,1,63,867,0,86,0,0,19,953,934,3,2,3,9,8,0,3,11,2712
Married,PhD,0,66,65324,0,1,0,384,0,102,21,32,5,539,534,3,6,2,9,4,0,3,11,2328
Together,Graduation,0,69,40689,0,1,69,270,3,27,39,6,99,345,246,7,7,1,5,8,0,3,11,2627
Single,Graduation,0,51,18589,0,0,89,6,4,25,15,12,13,62,49,2,2,1,3,7,0,3,11,2702
Married,Graduation,0,44,53359,1,1,4,173,4,30,3,6,41,216,175,4,5,1,4,7,0,3,11,2557
Married,Graduation,0,31,38360,1,0,26,36,2,42,20,21,10,121,111,2,2,1,4,3,0,3,11,2553
Married,PhD,1,55,84618,0,0,96,684,100,801,21,66,0,1672,1672,1,6,9,10,2,0,3,11,2378
Divorced,Master,0,31,10979,0,0,34,8,4,10,2,2,4,26,22,2,3,0,3,5,0,3,11,2197
Together,Master,0,57,38620,0,0,56,112,17,44,34,22,89,229,140,1,2,5,3,3,0,3,11,2573
Together,Graduation,1,50,40548,0,1,31,110,0,5,2,0,3,117,114,2,2,1,4,5,0,3,11,2786
Divorced,PhD,1,68,46610,0,2,8,96,12,96,33,22,43,259,216,6,4,1,6,6,0,3,11,2767
Married,Master,0,74,68657,0,0,4,482,34,471,119,68,22,1174,1152,1,3,5,9,7,0,3,11,2653
Single,Master,0,69,49389,1,1,55,40,0,19,2,1,3,62,59,1,2,0,3,7,0,3,11,2463
Married,PhD,0,50,67353,0,1,37,702,17,151,0,8,35,878,843,5,5,6,12,2,0,3,11,2339
Married,Post Degree,0,44,23718,1,0,76,6,3,14,15,7,36,45,9,3,3,1,2,7,0,3,11,2459
Widow,Graduation,0,47,42429,0,1,99,55,0,6,2,0,4,63,59,2,1,1,3,5,0,3,11,2297
Divorced,PhD,1,77,48948,0,0,53,437,8,206,160,49,42,860,818,2,7,10,5,6,0,3,11,2672
Married,Graduation,0,40,80011,0,1,3,421,76,536,82,178,102,1293,1191,2,8,6,5,4,0,3,11,2585
Married,Master,0,35,20559,1,0,88,13,1,29,3,0,7,46,39,2,2,0,3,8,0,3,11,2633
Together,Graduation,0,63,21994,0,1,4,9,0,6,3,1,3,19,16,1,0,0,3,5,0,3,11,2711
Married,Master,0,45,7500,1,0,19,3,1,10,3,2,12,19,7,3,2,0,3,5,0,3,11,2429
Single,Graduation,0,44,79941,0,0,72,123,164,266,227,30,174,810,636,1,2,4,9,1,0,3,11,2160
Married,Post Degree,1,24,7500,0,0,24,3,18,14,15,22,50,72,22,3,3,1,3,9,0,3,11,2756
Together,Graduation,0,52,41728,1,0,92,13,6,15,3,5,13,42,29,1,2,0,2,10,0,3,11,2560
Married,PhD,0,66,72550,1,1,39,826,50,317,50,38,38,1281,1243,9,5,2,12,8,0,3,11,2757
Widow,Graduation,0,63,65486,0,1,29,245,19,125,37,67,14,493,479,1,4,2,10,2,0,3,11,2207
Married,Master,0,56,79143,0,0,2,650,37,780,27,167,32,1661,1629,1,6,9,13,3,0,3,11,2846
Single,Graduation,0,43,35790,1,0,54,12,6,20,30,1,3,69,66,2,2,0,3,7,0,3,11,2702
Divorced,Graduation,1,43,82582,0,0,54,510,120,550,156,40,241,1376,1135,1,4,9,7,1,0,3,11,2181
Married,Graduation,0,42,66373,1,1,57,328,9,124,12,24,109,497,388,7,4,2,10,3,0,3,11,2541
Together,Master,1,65,82384,0,0,55,984,51,432,180,120,190,1767,1577,1,3,10,13,1,0,3,11,2746
Divorced,Graduation,1,54,70287,0,0,30,295,35,482,121,120,40,1053,1013,1,5,5,10,3,0,3,11,2612
